id_student,code_module,code_presentation,late_rate,avg_days_late,irregularity,last_min_ratio,avg_gap,max_gap,total_clicks,active_days,num_assessments,cluster,risk,risk_enc
537193,BBB,2013B,0.45454545454545453,1.7272727272727273,0.9736971699383707,0.4062725306416727,1.5866666666666667,6,2774,151,11,0,Medium,2
520006,BBB,2013J,0.45454545454545453,-1.4545454545454546,0.7762523537183432,1.028169014084507,12.789473684210526,35,213,20,11,0,Medium,2
649027,BBB,2014J,0.0,-2.3333333333333335,1.2751093081593563,0.07971864009378664,4.0,21,853,41,3,2,Low,1
590548,FFF,2014B,0.0,-85.66666666666667,1.4686651633711876,0.08247422680412371,15.0,18,97,5,6,2,Low,1
635410,CCC,2014J,0.6666666666666666,-36.833333333333336,1.6743541203182928,0.6630434782608695,14.125,35,92,9,6,0,Medium,2
682391,FFF,2014J,0.0,-49.333333333333336,1.318084924926153,0.38501026694045176,3.1818181818181817,25,974,45,3,2,Low,1
633060,GGG,2014J,0.0,-38.111111111111114,1.3802752351283412,0.8492063492063492,12.68421052631579,31,252,20,9,2,Low,1
560067,FFF,2013B,0.5,2.0,1.3687141955173145,0.4603729603729604,3.4615384615384617,15,858,40,4,0,Medium,2
651659,BBB,2014J,0.0,-2.2,1.7643440408977016,0.14201183431952663,5.7555555555555555,29,1183,46,5,2,Low,1
1879321,FFF,2014J,0.0,-62.666666666666664,1.175975994413339,0.3346099290780142,1.569060773480663,13,7050,182,12,2,Low,1
297179,BBB,2014J,0.375,1.625,1.2208924969229176,0.2698529411764706,3.3333333333333335,18,2720,76,8,2,Low,1
685287,EEE,2014J,0.3076923076923077,0.6666666666666666,1.302778939300138,0.7038242473555736,2.9743589743589745,23,1229,79,13,2,Low,1
544859,BBB,2013B,0.6363636363636364,4.0,0.811597579965918,0.5979228486646885,4.4,33,674,56,11,0,Medium,2
683352,FFF,2014J,0.08333333333333333,-35.833333333333336,0.9837532452642036,1.008925383791503,2.7142857142857144,16,2801,92,12,2,Low,1
625782,CCC,2014B,0.5555555555555556,2.5,1.323271488483788,0.6002227171492205,2.0078740157480315,9,1796,128,9,0,Medium,2
608884,EEE,2013J,0.5,1.75,1.315226796462752,0.3,6.447368421052632,41,680,39,4,0,Medium,2
628386,DDD,2014B,0.0,-1.2857142857142858,1.1389833526558852,0.30874909616775126,1.8333333333333333,13,1383,139,7,2,Low,1
604498,GGG,2013J,0.1111111111111111,0.8888888888888888,1.651864150872512,2.4427934621099556,7.676470588235294,34,673,35,9,1,High,0
643758,DDD,2014J,0.4375,3.7142857142857144,0.9313878868229052,0.6635071090047393,5.956521739130435,21,422,47,16,0,Medium,2
599434,BBB,2013J,0.5,4.0,1.5605080388905088,0.49387755102040815,2.8947368421052633,20,245,39,2,0,Medium,2
1951727,DDD,2014B,0.0,-6.428571428571429,1.3499211800131476,0.16666666666666666,1.7315436241610738,9,1146,150,7,2,Low,1
598989,DDD,2013J,0.14285714285714285,-3.2857142857142856,1.1900956467445074,0.3699186991869919,1.9044117647058822,13,2460,137,7,2,Low,1
2620178,BBB,2013B,0.45454545454545453,1.7272727272727273,1.2597723721328602,0.7716701902748414,3.8688524590163933,26,473,62,11,0,Medium,2
566300,DDD,2014J,0.2857142857142857,0.6666666666666666,1.0366653930107195,0.25245732022762546,1.7607361963190185,10,1933,164,7,2,Low,1
425274,EEE,2013J,0.0,0.0,1.1685795253424267,0.17480719794344474,3.5657894736842106,28,778,77,3,2,Low,1
536261,CCC,2014B,0.6363636363636364,1.380952380952381,1.383531758070156,1.16,8.576923076923077,34,350,27,22,0,Medium,2
2239140,BBB,2013J,0.5,0.0,0.9483569019888607,0.37142857142857144,2.388888888888889,9,245,19,2,0,Medium,2
186780,BBB,2013B,1.0,44.0,0.848528137423857,0.0,4.0,4,30,2,2,0,Medium,2
243926,EEE,2014J,0.0,0.0,1.4475725335885596,0.29333333333333333,4.52,36,750,51,1,2,Low,1
571871,BBB,2013J,0.7272727272727273,4.818181818181818,0.9876247785740235,0.5083056478405316,3.657142857142857,22,903,71,11,0,Medium,2
123957,DDD,2013J,0.0,-34.42857142857143,1.158280997492115,0.44991789819376027,2.267857142857143,18,609,57,7,2,Low,1
410886,DDD,2013B,0.5,-0.1875,0.8827343555853201,0.5653495440729484,1.2146341463414634,6,3948,206,16,0,Medium,2
469614,DDD,2014B,0.3333333333333333,0.8333333333333334,0.9576897769520598,0.35152838427947597,2.7362637362637363,16,916,92,6,2,Low,1
610622,CCC,2014J,0.5,1.0,0.9166142377792601,0.625,2.7142857142857144,6,136,15,2,0,Medium,2
587783,CCC,2014B,0.23809523809523808,-48.35,1.5391408497542305,0.4992134242265338,2.115702479338843,17,1907,122,21,2,Low,1
413891,EEE,2014B,0.6666666666666666,3.6666666666666665,1.4860193742746162,0.2623688155922039,3.659090909090909,25,667,45,3,0,Medium,2
516281,DDD,2013B,0.625,0.875,1.5071048387846122,0.5972434915773354,2.7023809523809526,73,653,85,8,0,Medium,2
687112,FFF,2014J,0.0,-38.5,1.4263771081948318,1.5717884130982367,2.8085106382978724,28,2779,95,12,1,High,0
551557,FFF,2013J,0.08333333333333333,-69.83333333333333,1.385891194885515,0.5188775510204081,4.716981132075472,26,1960,54,12,2,Low,1
576515,DDD,2014J,0.0,-1.5,1.2659955851019582,0.2905680891546616,1.5754189944134078,6,3679,180,7,2,Low,1
268153,FFF,2013J,0.0,-52.583333333333336,1.2146693264748825,0.7136727688787186,1.945578231292517,9,3496,148,12,2,Low,1
1644647,FFF,2013J,0.16666666666666666,-49.666666666666664,1.4868996124910216,0.5907153008053055,2.5981308411214954,15,2111,108,12,2,Low,1
2520539,CCC,2014J,0.5555555555555556,0.375,1.016442791285611,0.47865853658536583,2.762376237623762,13,1968,102,9,0,Medium,2
647102,GGG,2014J,0.1111111111111111,-45.44444444444444,1.3505865762444846,0.5575679172056921,4.592592592592593,25,773,55,9,2,Low,1
607547,GGG,2014B,0.0,-29.333333333333332,1.072616429908118,0.1591928251121076,5.7894736842105265,20,446,39,9,2,Low,1
605916,BBB,2013J,0.45454545454545453,0.7272727272727273,0.8881093887553733,0.39845189826760047,1.6770186335403727,15,2713,162,11,0,Medium,2
602398,EEE,2013J,0.25,0.25,1.399915220950504,0.30505243088655865,3.116883116883117,80,1049,78,4,2,Low,1
539142,DDD,2013B,0.5555555555555556,2.0,0.9082456759817295,1.1108695652173912,5.535714285714286,26,460,29,9,0,Medium,2
595593,FFF,2013J,0.0,-115.0,1.0329909522634824,0.3139798897178073,2.0172413793103448,17,3083,59,5,2,Low,1
581135,FFF,2013J,0.0,-50.583333333333336,0.9785543843210037,0.3970453294182419,1.079245283018868,6,10898,266,12,2,Low,1
677221,FFF,2014J,0.0,-11.25,1.559338380530473,0.43154546768830415,1.6058823529411765,10,6917,171,12,2,Low,1
634246,DDD,2014B,0.3333333333333333,0.5,0.9597331942682416,0.3628428927680798,3.2133333333333334,19,802,76,6,2,Low,1
632836,CCC,2014B,0.19047619047619047,-11.8,1.9756865492816713,0.9139953088350273,4.62962962962963,28,1279,55,21,2,Low,1
627307,CCC,2014B,0.08333333333333333,-25.916666666666668,1.3338999599492982,0.0,2.0,7,198,17,12,2,Low,1
601505,BBB,2013J,0.625,2.25,0.8576503778215417,0.6901709401709402,8.655172413793103,75,468,30,8,0,Medium,2
58731,DDD,2014J,0.14285714285714285,1.8333333333333333,0.753987994693604,0.4576271186440678,12.294117647058824,45,177,18,7,2,Low,1
2426864,BBB,2014J,0.4,4.4,1.1265814413599442,0.3118279569892473,16.785714285714285,58,372,15,5,0,Medium,2
311474,DDD,2013J,1.0,10.5,1.1649365931964604,0.37373737373737376,5.642857142857143,15,99,15,2,0,Medium,2
572396,EEE,2013J,0.3076923076923077,-4.583333333333333,1.4492389714144092,0.49706687524442705,3.021978021978022,14,2557,92,13,2,Low,1
1891028,BBB,2014J,0.5,1.5,0.4771650261476718,0.23853211009174313,16.428571428571427,57,109,8,2,0,Medium,2
117435,DDD,2013B,0.6363636363636364,-15.454545454545455,0.83890714855181,1.066420664206642,3.135593220338983,29,1355,60,11,0,Medium,2
592338,EEE,2014J,0.38461538461538464,1.4166666666666667,1.1728580424194661,0.5047941342357586,3.216867469879518,21,1773,84,13,0,Medium,2
534998,BBB,2013J,0.45454545454545453,0.5454545454545454,1.0129403459837971,0.3709677419354839,1.5849056603773586,9,1426,160,11,0,Medium,2
1612600,DDD,2014B,0.2222222222222222,-6.0,0.9900024267905205,0.3009003775776939,1.1163793103448276,4,3443,233,9,2,Low,1
423871,BBB,2013B,0.45454545454545453,1.5454545454545454,0.8552910007037662,0.5240296742285776,1.033195020746888,5,9301,242,11,0,Medium,2
588128,FFF,2014J,0.13333333333333333,-51.86666666666667,1.5539937839377904,0.6188178528347407,5.384615384615385,31,1658,53,15,2,Low,1
577212,DDD,2013J,0.0,0.0,1.1185905407519279,0.017241379310344827,7.5,18,116,9,1,2,Low,1
533198,FFF,2014B,0.5,-25.833333333333332,1.1729273332064578,0.3155080213903743,6.6,31,187,21,6,0,Medium,2
513687,DDD,2014B,0.375,1.25,2.3684420546394547,0.41000543773790105,2.8777777777777778,28,1839,91,8,2,Low,1
2657913,FFF,2014J,0.0,-64.25,1.3710000047526327,0.5561224489795918,3.397590361445783,18,2352,84,12,2,Low,1
328476,FFF,2013B,0.0,-68.0,1.366037183238926,0.441995841995842,3.8983050847457625,16,2405,60,12,2,Low,1
550272,FFF,2013B,0.0,-18.833333333333332,1.929379210667473,2.4982765224052086,3.1818181818181817,24,2611,78,12,1,High,0
165421,DDD,2013B,0.5,0.8571428571428571,1.946606190525668,0.9159592529711376,3.619047619047619,21,1178,64,14,0,Medium,2
578710,BBB,2014J,0.0,-0.8,0.9066138175410777,0.058941058941058944,4.372549019607843,22,1001,52,5,2,Low,1
607702,FFF,2014B,0.0,-1.6666666666666667,0.9845949963473086,0.4874715261958998,5.818181818181818,21,439,23,3,2,Low,1
587538,BBB,2014B,0.4444444444444444,0.3333333333333333,1.2373349299199174,0.8131868131868132,6.135135135135135,27,273,38,9,0,Medium,2
52014,DDD,2013B,0.5833333333333334,1.0833333333333333,1.4998724489476851,0.8939828080229226,4.866666666666666,24,349,46,12,0,Medium,2
498828,CCC,2014J,0.2777777777777778,-49.76470588235294,1.5745030841158576,0.4166666666666667,3.3506493506493507,16,744,78,18,2,Low,1
2242290,BBB,2013J,0.3333333333333333,0.0,0.9013140935188277,0.6756302521008404,5.217391304347826,33,595,24,3,0,Medium,2
593657,DDD,2014B,0.25,-0.7333333333333333,0.9157869848984843,0.5549710678590216,1.521472392638037,20,1901,164,16,2,Low,1
253567,GGG,2013J,0.5555555555555556,-15.333333333333334,1.5301060387423868,2.0892857142857144,10.434782608695652,54,280,24,9,1,High,0
622413,DDD,2014B,0.3333333333333333,0.6666666666666666,1.0599428766623982,0.4143790849673203,3.462686567164179,15,765,68,9,2,Low,1
2035700,FFF,2014J,0.0,-54.19047619047619,1.0255853276399636,0.6258858136114454,1.6547619047619047,13,7479,169,21,2,Low,1
680414,DDD,2014J,0.0,-9.0,0.9049579400503184,0.09990749306197964,1.5714285714285714,10,1081,29,1,2,Low,1
60135,DDD,2013B,0.5833333333333334,-0.5,1.1393368186163795,0.5865454545454546,2.245614035087719,25,2750,115,12,0,Medium,2
587810,BBB,2013J,0.45454545454545453,0.0,1.1231643333358834,0.43728100911002105,3.090909090909091,20,1427,89,11,0,Medium,2
520711,FFF,2013B,0.5,0.5,0.9755450955282956,0.13527449196239005,1.6756756756756757,23,3297,75,2,0,Medium,2
631681,FFF,2014J,0.5454545454545454,0.0,2.911478873252926,2.463815789473684,2.976470588235294,16,2128,86,11,1,High,0
2650282,AAA,2013J,0.4,4.8,0.9718282008697666,0.5179407176287052,4.672727272727273,24,641,56,5,0,Medium,2
564450,AAA,2013J,0.0,-1.2,1.477948509669746,0.42410714285714285,8.548387096774194,31,224,32,5,2,Low,1
283131,BBB,2014B,0.5,-0.625,1.2505558197620432,0.46113989637305697,5.121212121212121,22,386,34,8,0,Medium,2
601275,GGG,2013J,0.4444444444444444,-3.4444444444444446,1.5219096960241763,2.4680851063829787,11.333333333333334,39,376,22,9,1,High,0
646413,CCC,2014J,0.4444444444444444,1.625,1.4057682833743452,0.3770491803278688,10.36,45,610,26,9,0,Medium,2
335018,DDD,2013J,0.2727272727272727,3.0,0.7754182544844783,0.3485714285714286,11.047619047619047,41,175,22,11,0,Medium,2
89895,FFF,2013B,0.08333333333333333,-38.083333333333336,0.8828988214557639,0.5003562522265764,1.2436548223350254,13,5614,198,12,2,Low,1
151917,BBB,2014J,0.4375,-0.5625,1.4190398698913094,0.39831697054698456,7.363636363636363,36,713,34,16,0,Medium,2
192680,FFF,2013J,0.08333333333333333,-66.0,0.9296862297655071,0.1825,1.8865248226950355,11,4000,142,12,2,Low,1
633403,FFF,2014B,0.5,3.5,0.8651194386126052,0.21683673469387754,4.944444444444445,25,392,19,2,0,Medium,2
486279,GGG,2014B,0.0,-43.888888888888886,1.5955912905375944,0.05519480519480519,7.709677419354839,23,308,32,9,2,Low,1
602696,BBB,2014J,0.0,-3.0,1.3323038361510329,0.07997010463378176,4.773584905660377,17,1338,54,5,2,Low,1
634027,GGG,2014B,0.125,0.375,0.9917782340340697,0.0,9.125,35,53,9,8,2,Low,1
2054019,FFF,2013B,0.09090909090909091,5.909090909090909,1.3422285913944072,2.0499565595134666,3.1794871794871793,23,2302,79,11,1,High,0
386180,GGG,2014J,0.0,-6.0,1.7504892376629664,0.5386243386243387,4.588235294117647,19,945,52,9,2,Low,1
396210,DDD,2013J,0.14285714285714285,-2.857142857142857,0.9546247953177779,0.5452196382428941,4.627118644067797,24,387,60,7,2,Low,1
635890,BBB,2014J,0.0,-11.0,0.8694555114792638,0.2091346153846154,4.911111111111111,23,1248,46,5,2,Low,1
228703,FFF,2013B,0.0,-77.5,1.330755968084261,0.31494127287626333,2.15,14,3661,121,12,2,Low,1
438323,FFF,2013B,0.0,-49.666666666666664,1.705214329574016,0.7629213483146068,3.039473684210526,23,2670,77,12,2,Low,1
556587,CCC,2014B,1.0,5.0,0.9903619416040137,0.32085561497326204,2.4318181818181817,11,561,45,2,0,Medium,2
556308,DDD,2013B,0.8333333333333334,2.75,1.0913148599263356,0.9751693002257337,2.552941176470588,13,1329,86,12,0,Medium,2
80886,FFF,2013B,0.0,-134.33333333333334,1.906100069782487,0.567062818336163,2.56,16,589,26,3,2,Low,1
680955,FFF,2014J,0.0,-67.75,1.1236498641846386,0.4973169796857033,1.68944099378882,7,5218,162,12,2,Low,1
637064,DDD,2014J,0.0,-0.75,0.8294717289100346,0.5058139534883721,6.517241379310345,54,172,30,4,2,Low,1
28046,DDD,2013J,0.14285714285714285,-2.7142857142857144,0.8752287912841683,0.3842662632375189,5.02,30,661,51,7,2,Low,1
643591,FFF,2014J,0.0,-82.08333333333333,1.1165371440558722,0.23039783700270375,1.7666666666666666,6,5178,151,12,2,Low,1
590590,GGG,2013J,0.0,-70.0,0.9077625911055707,0.011396011396011397,4.04,13,351,26,2,2,Low,1
545918,FFF,2013B,0.5,5.0,1.4040329839270764,0.16906474820143885,6.230769230769231,45,278,27,2,0,Medium,2
154073,DDD,2014J,0.0,-0.3333333333333333,1.4584464093867815,0.3819241982507289,6.846153846153846,38,343,40,7,2,Low,1
590462,FFF,2014J,0.0,-72.66666666666667,1.3087027206389508,0.16081330868761554,2.6904761904761907,20,541,43,3,2,Low,1
491966,BBB,2013J,0.2727272727272727,-28.272727272727273,0.9296763215150613,1.4057971014492754,12.846153846153847,33,138,14,11,0,Medium,2
488680,DDD,2013J,0.0,-52.142857142857146,1.1307708133856589,0.13723608445297505,2.347826086956522,27,2084,116,7,2,Low,1
2046628,DDD,2013J,0.5,4.5,1.2501732784526414,0.4442361761949391,1.6857142857142857,6,1067,36,2,0,Medium,2
84299,CCC,2014B,0.23529411764705882,-5.9411764705882355,2.2627305577029935,0.9407114624505929,2.737704918032787,10,759,62,17,1,High,0
531646,DDD,2014J,0.2857142857142857,-1.8333333333333333,0.9420840524704045,0.1969178082191781,3.6,18,584,76,7,2,Low,1
601251,BBB,2013J,0.45454545454545453,-0.6363636363636364,0.8711090130845085,0.3901098901098901,4.509090909090909,19,1092,56,11,0,Medium,2
690319,BBB,2014J,0.0,-6.8,1.645046795009576,0.0824634655532359,7.4375,22,958,33,5,2,Low,1
616862,DDD,2014J,1.0,12.0,1.1447417343994961,0.03968253968253968,5.111111111111111,13,126,10,1,0,Medium,2
635041,EEE,2014B,1.0,1.4,1.0553210507598842,0.3285144566301097,2.6206896551724137,34,2006,88,5,0,Medium,2
645322,DDD,2014J,0.0,-0.3333333333333333,1.2977766240215682,0.3386243386243386,3.742857142857143,12,189,36,3,2,Low,1
369208,FFF,2013J,0.2222222222222222,-42.333333333333336,1.130970455721385,0.8989280245022971,4.083333333333333,40,1306,61,9,2,Low,1
579340,CCC,2014B,0.2,-1.0,2.317476733206672,0.7902097902097902,3.5294117647058822,9,286,18,5,1,High,0
404804,AAA,2013J,0.0,-8.2,0.8329949585967186,0.4361493123772102,10.16,48,509,26,5,2,Low,1
2437051,FFF,2013J,0.0,0.0,0.8333158530160975,0.2596685082872928,2.72,8,724,26,2,2,Low,1
601182,EEE,2013J,0.25,-1.0,1.148457557000277,0.1669683257918552,1.8680555555555556,22,2210,145,4,2,Low,1
571776,CCC,2014B,0.21428571428571427,-1.2307692307692308,1.3491670576823447,0.5675675675675675,1.6305732484076434,13,2109,158,14,2,Low,1
2590948,CCC,2014J,0.5,1.5,2.2242531522355407,0.8910891089108911,6.428571428571429,11,101,8,2,1,High,0
612381,CCC,2014B,1.0,2.0,1.3238058714000545,0.4548611111111111,4.068965517241379,35,576,30,1,0,Medium,2
557285,BBB,2013B,0.5454545454545454,1.9090909090909092,0.826937131547467,0.6015557476231633,3.9464285714285716,11,1157,57,11,0,Medium,2
366479,BBB,2014J,0.4,10.6,1.1639707275884117,0.004016064257028112,5.9772727272727275,43,498,45,5,0,Medium,2
556523,GGG,2013J,0.0,-42.285714285714285,1.3236247369190923,0.09955752212389381,4.957446808510638,20,452,48,7,2,Low,1
577279,CCC,2014J,0.25,-4.666666666666667,1.2192195360262017,0.47571801566579636,1.6964285714285714,7,1915,169,16,2,Low,1
647083,CCC,2014J,0.4,3.5,1.3297039001511677,0.5310015898251192,5.173913043478261,46,629,47,5,0,Medium,2
606914,BBB,2014J,0.6666666666666666,0.6666666666666666,0.62170555082225,0.7837837837837838,21.714285714285715,68,37,8,3,0,Medium,2
593594,DDD,2013J,1.0,4.5,1.0647304680195293,0.20350877192982456,4.085714285714285,27,285,36,2,0,Medium,2
409930,BBB,2013J,0.45454545454545453,-0.18181818181818182,0.7757380678447023,0.26139088729016785,5.7105263157894735,32,417,39,11,0,Medium,2
582709,BBB,2014J,0.0,-27.583333333333332,0.7855812859139556,0.13255360623781676,13.631578947368421,44,513,20,12,2,Low,1
627961,EEE,2014B,0.0,0.0,0.9437506148740754,0.3029871977240398,3.230769230769231,10,703,27,2,2,Low,1
495276,GGG,2013J,0.0,-23.666666666666668,1.6168834744177865,1.021455938697318,4.271186440677966,37,1305,60,9,2,Low,1
588942,EEE,2013J,0.5,3.0,1.4718957210162487,0.3236151603498542,9.625,57,686,25,4,0,Medium,2
2366117,CCC,2014J,0.8,3.25,1.3489039783882577,0.058913076571776524,1.415,11,6569,201,5,0,Medium,2
1332999,BBB,2014B,0.45454545454545453,0.5454545454545454,0.8355286368392413,0.8609406952965235,6.076923076923077,18,489,40,11,0,Medium,2
649036,FFF,2014J,0.0,-1.0,1.2104233025799573,0.736,5.142857142857143,14,125,8,2,2,Low,1
582460,GGG,2013J,0.0,-11.857142857142858,1.5043041786020104,0.3255131964809384,5.169811320754717,19,682,54,14,2,Low,1
573969,DDD,2014J,0.5714285714285714,1.1666666666666667,1.2305934675179022,0.3468208092485549,5.4222222222222225,17,346,46,7,0,Medium,2
552313,DDD,2013J,0.0,-4.857142857142857,0.8787459606438425,0.1752708731676227,3.238095238095238,20,1569,85,7,2,Low,1
83219,CCC,2014B,0.3076923076923077,0.5,1.4722552341326576,0.6644549763033175,3.5142857142857142,19,1055,71,13,2,Low,1
648654,EEE,2014J,0.6666666666666666,6.333333333333333,1.1995165587787178,0.19247467438494936,7.90625,69,691,33,3,0,Medium,2
624376,FFF,2014B,0.0,-104.0,1.137342059059184,0.42962962962962964,2.75,5,675,13,2,2,Low,1
526303,FFF,2014B,0.0,-63.5,0.9800501662591788,0.6500217108119843,3.9285714285714284,20,2303,57,16,2,Low,1
577954,DDD,2014B,0.16666666666666666,-1.5,1.204586867037341,0.24602707474985286,2.169811320754717,16,1699,107,6,2,Low,1
535755,BBB,2013B,0.45454545454545453,0.9090909090909091,0.8551564283841891,0.46683673469387754,8.407407407407407,33,392,28,11,0,Medium,2
2468706,BBB,2013J,0.5454545454545454,0.7272727272727273,0.8535071830854305,0.35043988269794724,5.787234042553192,27,682,48,11,0,Medium,2
616794,FFF,2014B,0.0,-0.25,1.1672731133570713,0.9636752136752137,2.1315789473684212,17,3744,115,12,2,Low,1
1347253,GGG,2013J,0.0,-46.888888888888886,1.3690267826966855,0.2518105849582173,2.5090909090909093,22,1795,111,9,2,Low,1
593346,BBB,2014J,0.2,1.0,1.6386902159175787,0.3853211009174312,6.125,41,1199,41,5,2,Low,1
607337,GGG,2013J,0.0,-50.8,0.7876777801828767,0.0,11.071428571428571,49,316,15,5,2,Low,1
365111,BBB,2014B,0.4,3.8,1.1052829613917008,0.9041916167664671,9.0,106,334,24,10,0,Medium,2
425858,EEE,2014J,1.0,19.0,1.1231383145178389,0.10869565217391304,7.142857142857143,23,138,8,1,0,Medium,2
613790,EEE,2014B,0.0,0.0,1.1186580293049773,0.4026258205689278,3.413793103448276,9,457,30,2,2,Low,1
592924,FFF,2013J,0.25,-7.416666666666667,1.1440346651798192,0.4367019336008756,2.616822429906542,27,2741,108,12,2,Low,1
226747,BBB,2014B,0.45454545454545453,0.36363636363636365,1.090770501174566,0.36038961038961037,4.951219512195122,16,616,42,11,0,Medium,2
600967,BBB,2013J,0.0,0.0,1.104536101718726,0.0,6.75,14,25,5,1,2,Low,1
1897054,CCC,2014J,0.4444444444444444,0.75,1.2262338367262802,0.28368794326241137,1.6242774566473988,15,5781,174,9,0,Medium,2
412407,BBB,2013B,0.5,2.1,0.9816215830017798,0.30398671096345514,2.237623762376238,16,1204,102,10,0,Medium,2
629103,BBB,2014B,0.45454545454545453,0.2727272727272727,0.688029193969056,0.5755627009646302,11.142857142857142,53,311,22,11,0,Medium,2
656711,BBB,2014J,0.0,-1.4,1.0165823739224142,0.6810344827586207,12.0,47,348,20,5,2,Low,1
543279,BBB,2013J,0.4,-0.6,1.060523207599596,1.1465968586387434,10.789473684210526,45,191,20,10,0,Medium,2
602398,CCC,2014B,0.25,0.25,1.3213375774699858,0.4589041095890411,3.6153846153846154,9,292,14,4,2,Low,1
255310,FFF,2013J,0.19047619047619047,-27.85,1.434545298386072,0.4882668928470455,1.8064516129032258,11,3537,156,21,2,Low,1
683091,DDD,2014J,0.0,-4.5,0.8915650036801696,0.1222692036645525,1.9927536231884058,21,2838,139,7,2,Low,1
545254,BBB,2014B,0.45454545454545453,-0.18181818181818182,0.9506649274967094,0.7156862745098039,8.310344827586206,36,306,30,11,0,Medium,2
380435,FFF,2013J,0.0,-51.916666666666664,1.375812878656055,0.3391132572431958,1.4179104477611941,16,4556,202,12,2,Low,1
1782581,DDD,2014J,0.0,-7.666666666666667,0.7306505946664887,0.3598326359832636,2.5625,12,239,33,3,2,Low,1
527427,DDD,2013J,0.3333333333333333,-1.0,1.096900014419283,0.3677811550151976,6.625,36,329,41,6,0,Medium,2
682259,CCC,2014J,0.5714285714285714,3.0,1.6778557724267684,0.8846153846153846,7.6875,44,416,33,7,0,Medium,2
690211,BBB,2014J,0.0,0.0,1.257590771182453,0.32030075187969925,4.673076923076923,31,665,53,5,2,Low,1
52275,FFF,2014J,1.0,6.0,0.6800768548028925,0.0,12.5,26,91,5,1,0,Medium,2
383694,DDD,2013J,0.0,-4.428571428571429,0.9786112087018266,0.15996649916247907,2.7244897959183674,22,1194,99,7,2,Low,1
548981,BBB,2013B,0.6,3.8,0.816496580927726,0.8383838383838383,23.6,70,99,11,5,0,Medium,2
651728,DDD,2014J,0.2,0.8,0.8324839364520917,0.1902834008097166,6.37037037037037,17,247,28,5,2,Low,1
2239650,DDD,2013J,0.0,-10.714285714285714,1.3890121969657678,0.1652700656234225,1.0333333333333334,3,9905,271,7,2,Low,1
699461,GGG,2014J,0.1111111111111111,-17.11111111111111,1.3679081237057098,0.8817480719794345,7.964285714285714,34,389,29,9,2,Low,1
561913,DDD,2014B,0.26666666666666666,-0.5,1.5134473334642853,0.32511978097193706,2.336448598130841,19,1461,108,15,2,Low,1
